MES/DIA;Fechas importantes;Festivo
31/10/2018;Halloween;NO
01/12/2018;Alborada;NO
07/12/2018;Dia de la virgen;NO
08/12/2018;Dia de la virgen;SI
24/12/2018;Navidad;NO
25/12/2018;Navidad;SI
31/12/2018;Fin de anno;NO
01/01/2019;Anno nuevo;SI
07/01/2019;Reyes;SI
08/03/2019;Dia de la mujer;NO
19/03/2019;Dia del hombre;NO
18/04/2019;Jueves Santo;SI
19/04/2019;Viernes Santo;SI
27/04/2019;Dia del nino;NO
01/05/2019;Dia del trabajo;SI
12/05/2019;Dia de la madre;NO
16/06/2019;Dia del padre;NO
20/07/2019;Dia de la independencia;SI
02/08/2019;Feria de las flores;NO
03/08/2019;Feria de las flores;NO
04/08/2019;Feria de las flores;NO
05/08/2019;Feria de las flores;NO
06/08/2019;Feria de las flores;NO
07/08/2019;Feria de las flores - Batalla de Boyaca;SI
08/08/2019;Feria de las flores;NO
09/08/2019;Feria de las flores;NO
10/08/2019;Feria de las flores;NO
11/08/2019;Feria de las flores ;NO
08/10/2019;Receso escolar;NO
09/10/2019;Receso escolar;NO
10/10/2019;Receso escolar;NO
11/10/2019;Receso escolar;NO
12/10/2019;Receso escolar;NO
13/10/2019;Receso escolar;NO
14/10/2019;Receso escolar;SI
31/10/2019;Halloween;NO
01/12/2019;Alborada;NO
07/12/2019;Dia de la virgen;NO
08/12/2019;Dia de la virgen;SI
24/12/2019;Navidad;NO
25/12/2019;Navidad;SI
31/12/2019;Fin de anno;NO
