"BARRIO","TOTAL"
"Tenche",1110
"Toscana",942
"Travesias",1
"Trece de Noviembre",60
"Tricentenario",1058
"Trinidad",1168
"Veinte de Julio",380
"Versalles Nº 1",554
"Versalles Nº 2",65
"Villa Carlota",2443
"Villa de La Iguana",463
"Villa del Socorro",470
"Villa Flora",902
"Villa Guadalupe",408
"Villa Hermosa",607
"Villa Lilliam",131
"Villa Niza",183
"Villa Nueva",3233
"Villa Turbay",47
"Villatina",509
"Volcana Guayabal",1
"Yolombo",23
"Zona rural",274
