"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,1,"El Nogal - Los Almendros","Solo danos",4
2014,1,"El Pesebre","Herido",2
2014,1,"El Picacho","Solo danos",1
2014,1,"El Pinal","Herido",8
2014,1,"El Pinal","Muerto",1
2014,1,"El Pinal","Solo danos",1
2014,1,"El Playon de Los Comuneros","Herido",2
2014,1,"El Playon de Los Comuneros","Solo danos",1
2014,1,"El Poblado","Herido",1
2014,1,"El Poblado","Solo danos",14
2014,1,"El Pomar","Herido",5
2014,1,"El Pomar","Solo danos",1
2014,1,"El Progreso","Herido",11
2014,1,"El Progreso","Solo danos",8
2014,1,"El Progreso Nº 2","Herido",1
2014,1,"El Progreso Nº 2","Solo danos",1
2014,1,"El Raizal","Herido",2
2014,1,"El Rincon","Herido",7
2014,1,"El Rincon","Solo danos",7
2014,1,"El Rodeo","Herido",2
2014,1,"El Rodeo","Solo danos",1
2014,1,"El Salado","Solo danos",1
2014,1,"El Salvador","Herido",1
2014,1,"El Salvador","Muerto",1
2014,1,"El Salvador","Solo danos",3
2014,1,"El Tesoro","Herido",4
2014,1,"El Tesoro","Solo danos",6
2014,1,"El Triunfo","Herido",1
2014,1,"El Velodromo","Herido",3
2014,1,"El Velodromo","Solo danos",7
2014,1,"El Volador","Herido",2
2014,1,"Enciso","Herido",8
2014,1,"Enciso","Muerto",1
2014,1,"Enciso","Solo danos",3
2014,1,"Estacion Villa","Herido",6
2014,1,"Estacion Villa","Solo danos",10
2014,1,"Estadio","Herido",14
2014,1,"Estadio","Solo danos",13
2014,1,"Fatima","Herido",14
2014,1,"Fatima","Solo danos",7
2014,1,"Ferrini","Herido",2
2014,1,"Ferrini","Solo danos",5
2014,1,"Florencia","Herido",3
2014,1,"Florencia","Solo danos",2
2014,1,"Florida Nueva","Herido",5
2014,1,"Florida Nueva","Solo danos",9
2014,1,"Francisco Antonio Zea","Herido",4
2014,1,"Francisco Antonio Zea","Solo danos",3
2014,1,"Gerona","Herido",1
2014,1,"Girardot","Herido",10
2014,1,"Girardot","Solo danos",5
2014,1,"Granada","Herido",4
2014,1,"Granada","Solo danos",4
2014,1,"Granizal","Herido",3
2014,1,"Granizal","Solo danos",1
2014,1,"Guayabal","Herido",15
2014,1,"Guayabal","Solo danos",23
2014,1,"Guayaquil","Herido",19
2014,1,"Guayaquil","Muerto",3
2014,1,"Guayaquil","Solo danos",25
2014,1,"Hector Abad Gomez","Herido",9
2014,1,"Hector Abad Gomez","Muerto",1
2014,1,"Hector Abad Gomez","Solo danos",6
2014,1,"Inst","Solo danos",2
2014,1,"Jesus Nazareno","Herido",12
2014,1,"Jesus Nazareno","Solo danos",14
2014,1,"Juan Pablo II","Herido",3
2014,1,"Juan XXIII","Solo danos",1
2014,1,"Kennedy","Herido",7
2014,1,"Kennedy","Muerto",1
2014,1,"Kennedy","Solo danos",3
2014,1,"La Aguacatala","Herido",11
2014,1,"La Aguacatala","Solo danos",16
2014,1,"La America","Herido",10
2014,1,"La America","Solo danos",10
2014,1,"La Avanzada","Herido",2
2014,1,"La Candelaria","Herido",49
2014,1,"La Candelaria","Muerto",1
2014,1,"La Candelaria","Solo danos",57
2014,1,"La Castellana","Herido",6
2014,1,"La Castellana","Solo danos",2
2014,1,"La Colina","Solo danos",3
2014,1,"La Esperanza","Herido",8
2014,1,"La Esperanza","Solo danos",3
2014,1,"La Esperanza Nº 2","Herido",1
2014,1,"La Floresta","Herido",6
2014,1,"La Floresta","Solo danos",5
2014,1,"La Florida","Herido",3
2014,1,"La Florida","Solo danos",7
2014,1,"La Francia","Herido",3
2014,1,"La Frontera","Herido",2
2014,1,"La Frontera","Solo danos",2
2014,1,"La Gloria","Herido",7
2014,1,"La Gloria","Solo danos",4
2014,1,"La Hondonada","Herido",2
2014,1,"La Hondonada","Solo danos",1
2014,1,"La Isla","Herido",4
2014,1,"La Isla","Solo danos",1
2014,1,"La Ladera","Herido",3
