"BARRIO","GRAVEDAD","CONTEO"
"Cerro Nutibara","Muerto",8
"Cerro Nutibara","Solo danos",431
"Corazon de Jesus","Herido",1071
"Corazon de Jesus","Muerto",28
"Corazon de Jesus","Solo danos",1602
"Cordoba","Herido",380
"Cordoba","Muerto",2
"Cordoba","Solo danos",174
"Corregimiento de San Antonio de Prado","Muerto",4
"Corregimiento de Santa Elena","Muerto",1
"Cristo Rey","Herido",1047
"Cristo Rey","Muerto",18
"Cristo Rey","Solo danos",1023
"Cuarta Brigada","Herido",661
"Cuarta Brigada","Muerto",7
"Cuarta Brigada","Solo danos",611
"Cucaracho","Herido",797
"Cucaracho","Muerto",2
"Cucaracho","Solo danos",291
"Diego Echavarria","Herido",205
"Diego Echavarria","Muerto",1
"Diego Echavarria","Solo danos",232
"Doce de Octubre Nº 1","Herido",455
"Doce de Octubre Nº 1","Muerto",5
"Doce de Octubre Nº 1","Solo danos",114
"Doce de Octubre Nº 2","Herido",523
"Doce de Octubre Nº 2","Muerto",5
"Doce de Octubre Nº 2","Solo danos",139
"Eduardo Santos","Herido",33
"Eduardo Santos","Solo danos",13
"El Castillo","Herido",98
"El Castillo","Muerto",1
"El Castillo","Solo danos",220
"El Chagualo","Herido",1118
"El Chagualo","Muerto",19
"El Chagualo","Solo danos",1070
"El Compromiso","Herido",83
"El Compromiso","Solo danos",32
"El Corazon","Herido",90
"El Corazon","Muerto",2
"El Corazon","Solo danos",29
"El Corazon El Morro ","Herido",16
"El Corazon El Morro ","Solo danos",1
"El Danubio","Herido",263
"El Danubio","Muerto",4
"El Danubio","Solo danos",146
"El Diamante","Herido",823
"El Diamante","Muerto",1
"El Diamante","Solo danos",267
"El Diamante Nº 2","Herido",98
"El Diamante Nº 2","Muerto",1
"El Diamante Nº 2","Solo danos",189
"El Llano SE","Solo danos",1
"El Nogal - Los Almendros","Herido",216
"El Nogal - Los Almendros","Muerto",5
"El Nogal - Los Almendros","Solo danos",256
"El Pesebre","Herido",139
"El Pesebre","Solo danos",71
"El Picacho","Herido",17
"El Picacho","Solo danos",4
"El Pinal","Herido",372
"El Pinal","Muerto",4
"El Pinal","Solo danos",204
"El Plan","Herido",1
"El Playon de Los Comuneros","Herido",230
"El Playon de Los Comuneros","Muerto",4
"El Playon de Los Comuneros","Solo danos",109
"El Poblado","Herido",484
"El Poblado","Muerto",3
"El Poblado","Solo danos",1038
"El Pomar","Herido",280
"El Pomar","Muerto",1
"El Pomar","Solo danos",82
"El Progreso","Herido",1010
"El Progreso","Muerto",2
"El Progreso","Solo danos",938
"El Progreso Nº 2","Herido",112
"El Progreso Nº 2","Muerto",3
"El Progreso Nº 2","Solo danos",42
"El Raizal","Herido",384
"El Raizal","Muerto",3
"El Raizal","Solo danos",149
"El Rincon","Herido",553
"El Rincon","Muerto",1
"El Rincon","Solo danos",367
"El Rodeo","Herido",103
"El Rodeo","Muerto",2
"El Rodeo","Solo danos",68
"El Salado","Herido",141
"El Salado","Solo danos",49
"El Salvador","Herido",383
"El Salvador","Muerto",3
"El Salvador","Solo danos",226
"El Socorro","Herido",52
"El Socorro","Muerto",2
"El Socorro","Solo danos",16
"El Tesoro","Herido",233
"El Tesoro","Muerto",1
"El Tesoro","Solo danos",444
"El Triunfo","Herido",47
"El Triunfo","Solo danos",10
"El Uvito","Herido",1
