"","N_FECHAS","N_DIA_SEMANA","N_DIA_LABORAL"
"1155",2017-02-28,"martes","Laboral"
"1156",2017-03-01,"miércoles","Laboral"
"1157",2017-03-02,"jueves","Laboral"
"1158",2017-03-03,"viernes","Laboral"
"1159",2017-03-04,"sábado","Fin de semana"
"1160",2017-03-05,"domingo","Fin de semana"
"1161",2017-03-06,"lunes","Laboral"
"1162",2017-03-07,"martes","Laboral"
"1163",2017-03-08,"miércoles","Laboral"
"1164",2017-03-09,"jueves","Laboral"
"1165",2017-03-10,"viernes","Laboral"
"1166",2017-03-11,"sábado","Fin de semana"
"1167",2017-03-12,"domingo","Fin de semana"
"1168",2017-03-13,"lunes","Laboral"
"1169",2017-03-14,"martes","Laboral"
"1170",2017-03-15,"miércoles","Laboral"
"1171",2017-03-16,"jueves","Laboral"
"1172",2017-03-17,"viernes","Laboral"
"1173",2017-03-18,"sábado","Fin de semana"
"1174",2017-03-19,"domingo","Fin de semana"
"1175",2017-03-20,"lunes","Festivo"
"1176",2017-03-21,"martes","Laboral"
"1177",2017-03-22,"miércoles","Laboral"
"1178",2017-03-23,"jueves","Laboral"
"1179",2017-03-24,"viernes","Laboral"
"1180",2017-03-25,"sábado","Fin de semana"
"1181",2017-03-26,"domingo","Fin de semana"
"1182",2017-03-27,"lunes","Laboral"
"1183",2017-03-28,"martes","Laboral"
"1184",2017-03-29,"miércoles","Laboral"
"1185",2017-03-30,"jueves","Laboral"
"1186",2017-03-31,"viernes","Laboral"
"1187",2017-04-01,"sábado","Fin de semana"
"1188",2017-04-02,"domingo","Fin de semana"
"1189",2017-04-03,"lunes","Laboral"
"1190",2017-04-04,"martes","Laboral"
"1191",2017-04-05,"miércoles","Laboral"
"1192",2017-04-06,"jueves","Laboral"
"1193",2017-04-07,"viernes","Laboral"
"1194",2017-04-08,"sábado","Fin de semana"
"1195",2017-04-09,"domingo","Fin de semana"
"1196",2017-04-10,"lunes","Laboral"
"1197",2017-04-11,"martes","Laboral"
"1198",2017-04-12,"miércoles","Laboral"
"1199",2017-04-13,"jueves","Festivo"
"1200",2017-04-14,"viernes","Festivo"
"1201",2017-04-15,"sábado","Fin de semana"
"1202",2017-04-16,"domingo","Fin de semana"
"1203",2017-04-17,"lunes","Laboral"
"1204",2017-04-18,"martes","Laboral"
"1205",2017-04-19,"miércoles","Laboral"
"1206",2017-04-20,"jueves","Laboral"
"1207",2017-04-21,"viernes","Laboral"
"1208",2017-04-22,"sábado","Fin de semana"
"1209",2017-04-23,"domingo","Fin de semana"
"1210",2017-04-24,"lunes","Laboral"
"1211",2017-04-25,"martes","Laboral"
"1212",2017-04-26,"miércoles","Laboral"
"1213",2017-04-27,"jueves","Laboral"
"1214",2017-04-28,"viernes","Laboral"
"1215",2017-04-29,"sábado","Fin de semana"
"1216",2017-04-30,"domingo","Fin de semana"
"1217",2017-05-01,"lunes","Festivo"
"1218",2017-05-02,"martes","Laboral"
"1219",2017-05-03,"miércoles","Laboral"
"1220",2017-05-04,"jueves","Laboral"
"1221",2017-05-05,"viernes","Laboral"
"1222",2017-05-06,"sábado","Fin de semana"
"1223",2017-05-07,"domingo","Fin de semana"
"1224",2017-05-08,"lunes","Laboral"
"1225",2017-05-09,"martes","Laboral"
"1226",2017-05-10,"miércoles","Laboral"
"1227",2017-05-11,"jueves","Laboral"
"1228",2017-05-12,"viernes","Laboral"
"1229",2017-05-13,"sábado","Fin de semana"
"1230",2017-05-14,"domingo","Fin de semana"
"1231",2017-05-15,"lunes","Laboral"
"1232",2017-05-16,"martes","Laboral"
"1233",2017-05-17,"miércoles","Laboral"
"1234",2017-05-18,"jueves","Laboral"
"1235",2017-05-19,"viernes","Laboral"
"1236",2017-05-20,"sábado","Fin de semana"
"1237",2017-05-21,"domingo","Fin de semana"
"1238",2017-05-22,"lunes","Laboral"
"1239",2017-05-23,"martes","Laboral"
"1240",2017-05-24,"miércoles","Laboral"
"1241",2017-05-25,"jueves","Laboral"
"1242",2017-05-26,"viernes","Laboral"
"1243",2017-05-27,"sábado","Fin de semana"
"1244",2017-05-28,"domingo","Fin de semana"
"1245",2017-05-29,"lunes","Festivo"
"1246",2017-05-30,"martes","Laboral"
"1247",2017-05-31,"miércoles","Laboral"
"1248",2017-06-01,"jueves","Laboral"
"1249",2017-06-02,"viernes","Laboral"
"1250",2017-06-03,"sábado","Fin de semana"
"1251",2017-06-04,"domingo","Fin de semana"
"1252",2017-06-05,"lunes","Laboral"
"1253",2017-06-06,"martes","Laboral"
"1254",2017-06-07,"miércoles","Laboral"
"1255",2017-06-08,"jueves","Laboral"
"1256",2017-06-09,"viernes","Laboral"
"1257",2017-06-10,"sábado","Fin de semana"
"1258",2017-06-11,"domingo","Fin de semana"
"1259",2017-06-12,"lunes","Laboral"
"1260",2017-06-13,"martes","Laboral"
"1261",2017-06-14,"miércoles","Laboral"
"1262",2017-06-15,"jueves","Laboral"
"1263",2017-06-16,"viernes","Laboral"
"1264",2017-06-17,"sábado","Fin de semana"
"1265",2017-06-18,"domingo","Fin de semana"
"1266",2017-06-19,"lunes","Festivo"
"1267",2017-06-20,"martes","Laboral"
"1268",2017-06-21,"miércoles","Laboral"
"1269",2017-06-22,"jueves","Laboral"
"1270",2017-06-23,"viernes","Laboral"
"1271",2017-06-24,"sábado","Fin de semana"
"1272",2017-06-25,"domingo","Fin de semana"
"1273",2017-06-26,"lunes","Festivo"
"1274",2017-06-27,"martes","Laboral"
"1275",2017-06-28,"miércoles","Laboral"
"1276",2017-06-29,"jueves","Laboral"
"1277",2017-06-30,"viernes","Laboral"
"1278",2017-07-01,"sábado","Fin de semana"
"1279",2017-07-02,"domingo","Fin de semana"
"1280",2017-07-03,"lunes","Festivo"
"1281",2017-07-04,"martes","Laboral"
"1282",2017-07-05,"miércoles","Laboral"
"1283",2017-07-06,"jueves","Laboral"
"1284",2017-07-07,"viernes","Laboral"
"1285",2017-07-08,"sábado","Fin de semana"
"1286",2017-07-09,"domingo","Fin de semana"
"1287",2017-07-10,"lunes","Laboral"
"1288",2017-07-11,"martes","Laboral"
"1289",2017-07-12,"miércoles","Laboral"
"1290",2017-07-13,"jueves","Laboral"
"1291",2017-07-14,"viernes","Laboral"
"1292",2017-07-15,"sábado","Fin de semana"
"1293",2017-07-16,"domingo","Fin de semana"
"1294",2017-07-17,"lunes","Laboral"
"1295",2017-07-18,"martes","Laboral"
"1296",2017-07-19,"miércoles","Laboral"
"1297",2017-07-20,"jueves","Festivo"
"1298",2017-07-21,"viernes","Laboral"
"1299",2017-07-22,"sábado","Fin de semana"
"1300",2017-07-23,"domingo","Fin de semana"
"1301",2017-07-24,"lunes","Laboral"
"1302",2017-07-25,"martes","Laboral"
"1303",2017-07-26,"miércoles","Laboral"
"1304",2017-07-27,"jueves","Laboral"
"1305",2017-07-28,"viernes","Laboral"
"1306",2017-07-29,"sábado","Fin de semana"
"1307",2017-07-30,"domingo","Fin de semana"
"1308",2017-07-31,"lunes","Laboral"
"1309",2017-08-01,"martes","Laboral"
"1310",2017-08-02,"miércoles","Laboral"
"1311",2017-08-03,"jueves","Laboral"
"1312",2017-08-04,"viernes","Laboral"
"1313",2017-08-05,"sábado","Fin de semana"
"1314",2017-08-06,"domingo","Fin de semana"
"1315",2017-08-07,"lunes","Festivo"
"1316",2017-08-08,"martes","Laboral"
"1317",2017-08-09,"miércoles","Laboral"
"1318",2017-08-10,"jueves","Laboral"
"1319",2017-08-11,"viernes","Laboral"
"1320",2017-08-12,"sábado","Fin de semana"
"1321",2017-08-13,"domingo","Fin de semana"
"1322",2017-08-14,"lunes","Laboral"
"1323",2017-08-15,"martes","Laboral"
"1324",2017-08-16,"miércoles","Laboral"
"1325",2017-08-17,"jueves","Laboral"
"1326",2017-08-18,"viernes","Laboral"
"1327",2017-08-19,"sábado","Fin de semana"
"1328",2017-08-20,"domingo","Fin de semana"
"1329",2017-08-21,"lunes","Festivo"
"1330",2017-08-22,"martes","Laboral"
"1331",2017-08-23,"miércoles","Laboral"
"1332",2017-08-24,"jueves","Laboral"
"1333",2017-08-25,"viernes","Laboral"
"1334",2017-08-26,"sábado","Fin de semana"
"1335",2017-08-27,"domingo","Fin de semana"
"1336",2017-08-28,"lunes","Laboral"
"1337",2017-08-29,"martes","Laboral"
"1338",2017-08-30,"miércoles","Laboral"
"1339",2017-08-31,"jueves","Laboral"
"1340",2017-09-01,"viernes","Laboral"
"1341",2017-09-02,"sábado","Fin de semana"
"1342",2017-09-03,"domingo","Fin de semana"
"1343",2017-09-04,"lunes","Laboral"
"1344",2017-09-05,"martes","Laboral"
"1345",2017-09-06,"miércoles","Laboral"
"1346",2017-09-07,"jueves","Laboral"
"1347",2017-09-08,"viernes","Laboral"
"1348",2017-09-09,"sábado","Fin de semana"
"1349",2017-09-10,"domingo","Fin de semana"
"1350",2017-09-11,"lunes","Laboral"
"1351",2017-09-12,"martes","Laboral"
"1352",2017-09-13,"miércoles","Laboral"
"1353",2017-09-14,"jueves","Laboral"
"1354",2017-09-15,"viernes","Laboral"
"1355",2017-09-16,"sábado","Fin de semana"
"1356",2017-09-17,"domingo","Fin de semana"
"1357",2017-09-18,"lunes","Laboral"
"1358",2017-09-19,"martes","Laboral"
"1359",2017-09-20,"miércoles","Laboral"
"1360",2017-09-21,"jueves","Laboral"
"1361",2017-09-22,"viernes","Laboral"
"1362",2017-09-23,"sábado","Fin de semana"
"1363",2017-09-24,"domingo","Fin de semana"
"1364",2017-09-25,"lunes","Laboral"
"1365",2017-09-26,"martes","Laboral"
"1366",2017-09-27,"miércoles","Laboral"
"1367",2017-09-28,"jueves","Laboral"
"1368",2017-09-29,"viernes","Laboral"
"1369",2017-09-30,"sábado","Fin de semana"
"1370",2017-10-01,"domingo","Fin de semana"
"1371",2017-10-02,"lunes","Laboral"
"1372",2017-10-03,"martes","Laboral"
"1373",2017-10-04,"miércoles","Laboral"
"1374",2017-10-05,"jueves","Laboral"
"1375",2017-10-06,"viernes","Festivo"
"1376",2017-10-07,"sábado","Fin de semana"
"1377",2017-10-08,"domingo","Fin de semana"
"1378",2017-10-09,"lunes","Laboral"
"1379",2017-10-10,"martes","Laboral"
"1380",2017-10-11,"miércoles","Laboral"
"1381",2017-10-12,"jueves","Laboral"
"1382",2017-10-13,"viernes","Festivo"
"1383",2017-10-14,"sábado","Fin de semana"
"1384",2017-10-15,"domingo","Fin de semana"
"1385",2017-10-16,"lunes","Laboral"
"1386",2017-10-17,"martes","Laboral"
"1387",2017-10-18,"miércoles","Laboral"
"1388",2017-10-19,"jueves","Laboral"
"1389",2017-10-20,"viernes","Laboral"
"1390",2017-10-21,"sábado","Fin de semana"
"1391",2017-10-22,"domingo","Fin de semana"
"1392",2017-10-23,"lunes","Laboral"
"1393",2017-10-24,"martes","Laboral"
"1394",2017-10-25,"miércoles","Laboral"
"1395",2017-10-26,"jueves","Laboral"
"1396",2017-10-27,"viernes","Laboral"
"1397",2017-10-28,"sábado","Fin de semana"
"1398",2017-10-29,"domingo","Fin de semana"
"1399",2017-10-30,"lunes","Laboral"
"1400",2017-10-31,"martes","Laboral"
"1401",2017-11-01,"miércoles","Laboral"
"1402",2017-11-02,"jueves","Laboral"
"1403",2017-11-03,"viernes","Laboral"
"1404",2017-11-04,"sábado","Fin de semana"
"1405",2017-11-05,"domingo","Fin de semana"
"1406",2017-11-06,"lunes","Laboral"
"1407",2017-11-07,"martes","Laboral"
"1408",2017-11-08,"miércoles","Festivo"
"1409",2017-11-09,"jueves","Laboral"
"1410",2017-11-10,"viernes","Laboral"
"1411",2017-11-11,"sábado","Fin de semana"
"1412",2017-11-12,"domingo","Fin de semana"
"1413",2017-11-13,"lunes","Laboral"
"1414",2017-11-14,"martes","Laboral"
"1415",2017-11-15,"miércoles","Laboral"
"1416",2017-11-16,"jueves","Laboral"
"1417",2017-11-17,"viernes","Laboral"
"1418",2017-11-18,"sábado","Fin de semana"
"1419",2017-11-19,"domingo","Fin de semana"
"1420",2017-11-20,"lunes","Laboral"
"1421",2017-11-21,"martes","Laboral"
"1422",2017-11-22,"miércoles","Laboral"
"1423",2017-11-23,"jueves","Laboral"
"1424",2017-11-24,"viernes","Laboral"
"1425",2017-11-25,"sábado","Fin de semana"
"1426",2017-11-26,"domingo","Fin de semana"
"1427",2017-11-27,"lunes","Laboral"
"1428",2017-11-28,"martes","Laboral"
"1429",2017-11-29,"miércoles","Laboral"
"1430",2017-11-30,"jueves","Laboral"
"1431",2017-12-01,"viernes","Laboral"
"1432",2017-12-02,"sábado","Fin de semana"
"1433",2017-12-03,"domingo","Fin de semana"
"1434",2017-12-04,"lunes","Laboral"
"1435",2017-12-05,"martes","Laboral"
"1436",2017-12-06,"miércoles","Laboral"
"1437",2017-12-07,"jueves","Laboral"
"1438",2017-12-08,"viernes","Laboral"
"1439",2017-12-09,"sábado","Fin de semana"
"1440",2017-12-10,"domingo","Fin de semana"
"1441",2017-12-11,"lunes","Laboral"
"1442",2017-12-12,"martes","Laboral"
"1443",2017-12-13,"miércoles","Laboral"
"1444",2017-12-14,"jueves","Laboral"
"1445",2017-12-15,"viernes","Laboral"
"1446",2017-12-16,"sábado","Fin de semana"
"1447",2017-12-17,"domingo","Fin de semana"
"1448",2017-12-18,"lunes","Laboral"
"1449",2017-12-19,"martes","Laboral"
"1450",2017-12-20,"miércoles","Laboral"
"1451",2017-12-21,"jueves","Laboral"
"1452",2017-12-22,"viernes","Laboral"
"1453",2017-12-23,"sábado","Fin de semana"
"1454",2017-12-24,"domingo","Fin de semana"
"1455",2017-12-25,"lunes","Laboral"
"1456",2017-12-26,"martes","Laboral"
"1457",2017-12-27,"miércoles","Laboral"
"1458",2017-12-28,"jueves","Laboral"
"1459",2017-12-29,"viernes","Laboral"
"1460",2017-12-30,"sábado","Fin de semana"
"1461",2017-12-31,"domingo","Fin de semana"
"1462",2018-01-01,"lunes","Festivo"
"1463",2018-01-02,"martes","Laboral"
"1464",2018-01-03,"miércoles","Laboral"
"1465",2018-01-04,"jueves","Laboral"
"1466",2018-01-05,"viernes","Laboral"
"1467",2018-01-06,"sábado","Fin de semana"
"1468",2018-01-07,"domingo","Fin de semana"
"1469",2018-01-08,"lunes","Festivo"
"1470",2018-01-09,"martes","Laboral"
"1471",2018-01-10,"miércoles","Laboral"
"1472",2018-01-11,"jueves","Laboral"
"1473",2018-01-12,"viernes","Laboral"
"1474",2018-01-13,"sábado","Fin de semana"
"1475",2018-01-14,"domingo","Fin de semana"
"1476",2018-01-15,"lunes","Laboral"
"1477",2018-01-16,"martes","Laboral"
"1478",2018-01-17,"miércoles","Laboral"
"1479",2018-01-18,"jueves","Laboral"
"1480",2018-01-19,"viernes","Laboral"
"1481",2018-01-20,"sábado","Fin de semana"
"1482",2018-01-21,"domingo","Fin de semana"
"1483",2018-01-22,"lunes","Laboral"
"1484",2018-01-23,"martes","Laboral"
"1485",2018-01-24,"miércoles","Laboral"
"1486",2018-01-25,"jueves","Laboral"
"1487",2018-01-26,"viernes","Laboral"
"1488",2018-01-27,"sábado","Fin de semana"
"1489",2018-01-28,"domingo","Fin de semana"
"1490",2018-01-29,"lunes","Laboral"
"1491",2018-01-30,"martes","Laboral"
"1492",2018-01-31,"miércoles","Laboral"
"1493",2018-02-01,"jueves","Laboral"
"1494",2018-02-02,"viernes","Laboral"
"1495",2018-02-03,"sábado","Fin de semana"
"1496",2018-02-04,"domingo","Fin de semana"
"1497",2018-02-05,"lunes","Laboral"
"1498",2018-02-06,"martes","Laboral"
"1499",2018-02-07,"miércoles","Laboral"
"1500",2018-02-08,"jueves","Laboral"
"1501",2018-02-09,"viernes","Laboral"
"1502",2018-02-10,"sábado","Fin de semana"
"1503",2018-02-11,"domingo","Fin de semana"
"1504",2018-02-12,"lunes","Laboral"
"1505",2018-02-13,"martes","Laboral"
"1506",2018-02-14,"miércoles","Laboral"
"1507",2018-02-15,"jueves","Laboral"
"1508",2018-02-16,"viernes","Laboral"
"1509",2018-02-17,"sábado","Fin de semana"
"1510",2018-02-18,"domingo","Fin de semana"
"1511",2018-02-19,"lunes","Laboral"
"1512",2018-02-20,"martes","Laboral"
"1513",2018-02-21,"miércoles","Laboral"
"1514",2018-02-22,"jueves","Laboral"
"1515",2018-02-23,"viernes","Laboral"
"1516",2018-02-24,"sábado","Fin de semana"
"1517",2018-02-25,"domingo","Fin de semana"
"1518",2018-02-26,"lunes","Laboral"
"1519",2018-02-27,"martes","Laboral"
"1520",2018-02-28,"miércoles","Laboral"
"1521",2018-03-01,"jueves","Laboral"
"1522",2018-03-02,"viernes","Laboral"
"1523",2018-03-03,"sábado","Fin de semana"
"1524",2018-03-04,"domingo","Fin de semana"
"1525",2018-03-05,"lunes","Laboral"
"1526",2018-03-06,"martes","Laboral"
"1527",2018-03-07,"miércoles","Laboral"
"1528",2018-03-08,"jueves","Laboral"
"1529",2018-03-09,"viernes","Laboral"
"1530",2018-03-10,"sábado","Fin de semana"
"1531",2018-03-11,"domingo","Fin de semana"
"1532",2018-03-12,"lunes","Laboral"
"1533",2018-03-13,"martes","Laboral"
"1534",2018-03-14,"miércoles","Laboral"
"1535",2018-03-15,"jueves","Laboral"
"1536",2018-03-16,"viernes","Laboral"
"1537",2018-03-17,"sábado","Fin de semana"
"1538",2018-03-18,"domingo","Fin de semana"
"1539",2018-03-19,"lunes","Festivo"
"1540",2018-03-20,"martes","Laboral"
"1541",2018-03-21,"miércoles","Laboral"
"1542",2018-03-22,"jueves","Laboral"
"1543",2018-03-23,"viernes","Laboral"
"1544",2018-03-24,"sábado","Fin de semana"
"1545",2018-03-25,"domingo","Fin de semana"
"1546",2018-03-26,"lunes","Laboral"
"1547",2018-03-27,"martes","Laboral"
"1548",2018-03-28,"miércoles","Laboral"
"1549",2018-03-29,"jueves","Festivo"
"1550",2018-03-30,"viernes","Festivo"
"1551",2018-03-31,"sábado","Fin de semana"
"1552",2018-04-01,"domingo","Fin de semana"
"1553",2018-04-02,"lunes","Laboral"
"1554",2018-04-03,"martes","Laboral"
"1555",2018-04-04,"miércoles","Laboral"
"1556",2018-04-05,"jueves","Laboral"
"1557",2018-04-06,"viernes","Laboral"
"1558",2018-04-07,"sábado","Fin de semana"
"1559",2018-04-08,"domingo","Fin de semana"
"1560",2018-04-09,"lunes","Laboral"
"1561",2018-04-10,"martes","Laboral"
"1562",2018-04-11,"miércoles","Laboral"
"1563",2018-04-12,"jueves","Laboral"
"1564",2018-04-13,"viernes","Laboral"
"1565",2018-04-14,"sábado","Fin de semana"
"1566",2018-04-15,"domingo","Fin de semana"
"1567",2018-04-16,"lunes","Laboral"
"1568",2018-04-17,"martes","Laboral"
"1569",2018-04-18,"miércoles","Laboral"
"1570",2018-04-19,"jueves","Laboral"
"1571",2018-04-20,"viernes","Laboral"
"1572",2018-04-21,"sábado","Fin de semana"
"1573",2018-04-22,"domingo","Fin de semana"
"1574",2018-04-23,"lunes","Laboral"
"1575",2018-04-24,"martes","Laboral"
"1576",2018-04-25,"miércoles","Laboral"
"1577",2018-04-26,"jueves","Laboral"
"1578",2018-04-27,"viernes","Laboral"
"1579",2018-04-28,"sábado","Fin de semana"
"1580",2018-04-29,"domingo","Fin de semana"
"1581",2018-04-30,"lunes","Laboral"
"1582",2018-05-01,"martes","Festivo"
"1583",2018-05-02,"miércoles","Laboral"
"1584",2018-05-03,"jueves","Laboral"
"1585",2018-05-04,"viernes","Laboral"
"1586",2018-05-05,"sábado","Fin de semana"
"1587",2018-05-06,"domingo","Fin de semana"
"1588",2018-05-07,"lunes","Laboral"
"1589",2018-05-08,"martes","Laboral"
"1590",2018-05-09,"miércoles","Laboral"
"1591",2018-05-10,"jueves","Laboral"
"1592",2018-05-11,"viernes","Laboral"
"1593",2018-05-12,"sábado","Fin de semana"
"1594",2018-05-13,"domingo","Fin de semana"
"1595",2018-05-14,"lunes","Festivo"
"1596",2018-05-15,"martes","Laboral"
"1597",2018-05-16,"miércoles","Laboral"
"1598",2018-05-17,"jueves","Laboral"
"1599",2018-05-18,"viernes","Laboral"
"1600",2018-05-19,"sábado","Fin de semana"
"1601",2018-05-20,"domingo","Fin de semana"
"1602",2018-05-21,"lunes","Laboral"
"1603",2018-05-22,"martes","Laboral"
"1604",2018-05-23,"miércoles","Laboral"
"1605",2018-05-24,"jueves","Laboral"
"1606",2018-05-25,"viernes","Laboral"
"1607",2018-05-26,"sábado","Fin de semana"
"1608",2018-05-27,"domingo","Fin de semana"
"1609",2018-05-28,"lunes","Laboral"
"1610",2018-05-29,"martes","Laboral"
"1611",2018-05-30,"miércoles","Laboral"
"1612",2018-05-31,"jueves","Laboral"
"1613",2018-06-01,"viernes","Laboral"
"1614",2018-06-02,"sábado","Fin de semana"
"1615",2018-06-03,"domingo","Fin de semana"
"1616",2018-06-04,"lunes","Festivo"
"1617",2018-06-05,"martes","Laboral"
"1618",2018-06-06,"miércoles","Laboral"
"1619",2018-06-07,"jueves","Laboral"
"1620",2018-06-08,"viernes","Laboral"
"1621",2018-06-09,"sábado","Fin de semana"
"1622",2018-06-10,"domingo","Fin de semana"
"1623",2018-06-11,"lunes","Festivo"
"1624",2018-06-12,"martes","Laboral"
"1625",2018-06-13,"miércoles","Laboral"
"1626",2018-06-14,"jueves","Laboral"
"1627",2018-06-15,"viernes","Laboral"
"1628",2018-06-16,"sábado","Fin de semana"
"1629",2018-06-17,"domingo","Fin de semana"
"1630",2018-06-18,"lunes","Laboral"
"1631",2018-06-19,"martes","Laboral"
"1632",2018-06-20,"miércoles","Laboral"
"1633",2018-06-21,"jueves","Laboral"
"1634",2018-06-22,"viernes","Laboral"
"1635",2018-06-23,"sábado","Fin de semana"
"1636",2018-06-24,"domingo","Fin de semana"
"1637",2018-06-25,"lunes","Laboral"
"1638",2018-06-26,"martes","Laboral"
"1639",2018-06-27,"miércoles","Laboral"
"1640",2018-06-28,"jueves","Laboral"
"1641",2018-06-29,"viernes","Laboral"
"1642",2018-06-30,"sábado","Fin de semana"
"1643",2018-07-01,"domingo","Fin de semana"
"1644",2018-07-02,"lunes","Festivo"
"1645",2018-07-03,"martes","Laboral"
"1646",2018-07-04,"miércoles","Laboral"
"1647",2018-07-05,"jueves","Laboral"
"1648",2018-07-06,"viernes","Laboral"
"1649",2018-07-07,"sábado","Fin de semana"
"1650",2018-07-08,"domingo","Fin de semana"
"1651",2018-07-09,"lunes","Laboral"
"1652",2018-07-10,"martes","Laboral"
"1653",2018-07-11,"miércoles","Laboral"
"1654",2018-07-12,"jueves","Laboral"
"1655",2018-07-13,"viernes","Laboral"
"1656",2018-07-14,"sábado","Fin de semana"
"1657",2018-07-15,"domingo","Fin de semana"
"1658",2018-07-16,"lunes","Laboral"
"1659",2018-07-17,"martes","Laboral"
"1660",2018-07-18,"miércoles","Laboral"
"1661",2018-07-19,"jueves","Laboral"
"1662",2018-07-20,"viernes","Festivo"
"1663",2018-07-21,"sábado","Fin de semana"
"1664",2018-07-22,"domingo","Fin de semana"
"1665",2018-07-23,"lunes","Laboral"
"1666",2018-07-24,"martes","Laboral"
"1667",2018-07-25,"miércoles","Laboral"
"1668",2018-07-26,"jueves","Laboral"
"1669",2018-07-27,"viernes","Laboral"
"1670",2018-07-28,"sábado","Fin de semana"
"1671",2018-07-29,"domingo","Fin de semana"
"1672",2018-07-30,"lunes","Laboral"
"1673",2018-07-31,"martes","Laboral"
"1674",2018-08-01,"miércoles","Laboral"
"1675",2018-08-02,"jueves","Laboral"
"1676",2018-08-03,"viernes","Laboral"
"1677",2018-08-04,"sábado","Fin de semana"
"1678",2018-08-05,"domingo","Fin de semana"
"1679",2018-08-06,"lunes","Laboral"
"1680",2018-08-07,"martes","Festivo"
"1681",2018-08-08,"miércoles","Laboral"
"1682",2018-08-09,"jueves","Laboral"
"1683",2018-08-10,"viernes","Laboral"
"1684",2018-08-11,"sábado","Fin de semana"
"1685",2018-08-12,"domingo","Fin de semana"
"1686",2018-08-13,"lunes","Laboral"
"1687",2018-08-14,"martes","Laboral"
"1688",2018-08-15,"miércoles","Laboral"
"1689",2018-08-16,"jueves","Laboral"
"1690",2018-08-17,"viernes","Laboral"
"1691",2018-08-18,"sábado","Fin de semana"
"1692",2018-08-19,"domingo","Fin de semana"
"1693",2018-08-20,"lunes","Festivo"
"1694",2018-08-21,"martes","Laboral"
"1695",2018-08-22,"miércoles","Laboral"
"1696",2018-08-23,"jueves","Laboral"
"1697",2018-08-24,"viernes","Laboral"
"1698",2018-08-25,"sábado","Fin de semana"
"1699",2018-08-26,"domingo","Fin de semana"
"1700",2018-08-27,"lunes","Laboral"
"1701",2018-08-28,"martes","Laboral"
"1702",2018-08-29,"miércoles","Laboral"
"1703",2018-08-30,"jueves","Laboral"
"1704",2018-08-31,"viernes","Laboral"
"1705",2018-09-01,"sábado","Fin de semana"
"1706",2018-09-02,"domingo","Fin de semana"
"1707",2018-09-03,"lunes","Laboral"
"1708",2018-09-04,"martes","Laboral"
"1709",2018-09-05,"miércoles","Laboral"
"1710",2018-09-06,"jueves","Laboral"
"1711",2018-09-07,"viernes","Laboral"
"1712",2018-09-08,"sábado","Fin de semana"
"1713",2018-09-09,"domingo","Fin de semana"
"1714",2018-09-10,"lunes","Laboral"
"1715",2018-09-11,"martes","Laboral"
"1716",2018-09-12,"miércoles","Laboral"
"1717",2018-09-13,"jueves","Laboral"
"1718",2018-09-14,"viernes","Laboral"
"1719",2018-09-15,"sábado","Fin de semana"
"1720",2018-09-16,"domingo","Fin de semana"
"1721",2018-09-17,"lunes","Laboral"
"1722",2018-09-18,"martes","Laboral"
"1723",2018-09-19,"miércoles","Laboral"
"1724",2018-09-20,"jueves","Laboral"
"1725",2018-09-21,"viernes","Laboral"
"1726",2018-09-22,"sábado","Fin de semana"
"1727",2018-09-23,"domingo","Fin de semana"
"1728",2018-09-24,"lunes","Laboral"
"1729",2018-09-25,"martes","Laboral"
"1730",2018-09-26,"miércoles","Laboral"
"1731",2018-09-27,"jueves","Laboral"
"1732",2018-09-28,"viernes","Laboral"
"1733",2018-09-29,"sábado","Fin de semana"
"1734",2018-09-30,"domingo","Fin de semana"
"1735",2018-10-01,"lunes","Laboral"
"1736",2018-10-02,"martes","Laboral"
"1737",2018-10-03,"miércoles","Laboral"
"1738",2018-10-04,"jueves","Laboral"
"1739",2018-10-05,"viernes","Festivo"
"1740",2018-10-06,"sábado","Fin de semana"
"1741",2018-10-07,"domingo","Fin de semana"
"1742",2018-10-08,"lunes","Laboral"
"1743",2018-10-09,"martes","Laboral"
"1744",2018-10-10,"miércoles","Laboral"
"1745",2018-10-11,"jueves","Laboral"
"1746",2018-10-12,"viernes","Festivo"
"1747",2018-10-13,"sábado","Fin de semana"
"1748",2018-10-14,"domingo","Fin de semana"
"1749",2018-10-15,"lunes","Laboral"
"1750",2018-10-16,"martes","Laboral"
"1751",2018-10-17,"miércoles","Laboral"
"1752",2018-10-18,"jueves","Laboral"
"1753",2018-10-19,"viernes","Laboral"
"1754",2018-10-20,"sábado","Fin de semana"
"1755",2018-10-21,"domingo","Fin de semana"
"1756",2018-10-22,"lunes","Laboral"
"1757",2018-10-23,"martes","Laboral"
"1758",2018-10-24,"miércoles","Laboral"
"1759",2018-10-25,"jueves","Laboral"
"1760",2018-10-26,"viernes","Laboral"
"1761",2018-10-27,"sábado","Fin de semana"
"1762",2018-10-28,"domingo","Fin de semana"
"1763",2018-10-29,"lunes","Laboral"
"1764",2018-10-30,"martes","Laboral"
"1765",2018-10-31,"miércoles","Laboral"
"1766",2018-11-01,"jueves","Laboral"
"1767",2018-11-02,"viernes","Laboral"
"1768",2018-11-03,"sábado","Fin de semana"
"1769",2018-11-04,"domingo","Fin de semana"
"1770",2018-11-05,"lunes","Laboral"
"1771",2018-11-06,"martes","Laboral"
"1772",2018-11-07,"miércoles","Laboral"
