"","N_FECHAS","N_DIA_SEMANA","N_DIA_LABORAL"
"721",2015-12-22,"martes","Laboral"
"722",2015-12-23,"miércoles","Laboral"
"723",2015-12-24,"jueves","Laboral"
"724",2015-12-25,"viernes","Laboral"
"725",2015-12-26,"sábado","Fin de semana"
"726",2015-12-27,"domingo","Fin de semana"
"727",2015-12-28,"lunes","Laboral"
"728",2015-12-29,"martes","Laboral"
"729",2015-12-30,"miércoles","Laboral"
"730",2015-12-31,"jueves","Laboral"
"731",2016-01-01,"viernes","Festivo"
"732",2016-01-02,"sábado","Fin de semana"
"733",2016-01-03,"domingo","Fin de semana"
"734",2016-01-04,"lunes","Laboral"
"735",2016-01-05,"martes","Laboral"
"736",2016-01-06,"miércoles","Laboral"
"737",2016-01-07,"jueves","Laboral"
"738",2016-01-08,"viernes","Laboral"
"739",2016-01-09,"sábado","Fin de semana"
"740",2016-01-10,"domingo","Fin de semana"
"741",2016-01-11,"lunes","Festivo"
"742",2016-01-12,"martes","Laboral"
"743",2016-01-13,"miércoles","Laboral"
"744",2016-01-14,"jueves","Laboral"
"745",2016-01-15,"viernes","Laboral"
"746",2016-01-16,"sábado","Fin de semana"
"747",2016-01-17,"domingo","Fin de semana"
"748",2016-01-18,"lunes","Laboral"
"749",2016-01-19,"martes","Laboral"
"750",2016-01-20,"miércoles","Laboral"
"751",2016-01-21,"jueves","Laboral"
"752",2016-01-22,"viernes","Laboral"
"753",2016-01-23,"sábado","Fin de semana"
"754",2016-01-24,"domingo","Fin de semana"
"755",2016-01-25,"lunes","Laboral"
"756",2016-01-26,"martes","Laboral"
"757",2016-01-27,"miércoles","Laboral"
"758",2016-01-28,"jueves","Laboral"
"759",2016-01-29,"viernes","Laboral"
"760",2016-01-30,"sábado","Fin de semana"
"761",2016-01-31,"domingo","Fin de semana"
"762",2016-02-01,"lunes","Laboral"
"763",2016-02-02,"martes","Laboral"
"764",2016-02-03,"miércoles","Laboral"
"765",2016-02-04,"jueves","Laboral"
"766",2016-02-05,"viernes","Laboral"
"767",2016-02-06,"sábado","Fin de semana"
"768",2016-02-07,"domingo","Fin de semana"
